content,author,year,date_mm_dd,split,VST,HST,SA,OR,WB
"Before I went to the office my wife’s brother did come to us, and we did instruct him to go to Gosnell’s and to see what the true matter is of her not coming, and whether she do intend to come or no, and so I to the office; and this morning come Sir G. Carteret to us (being the first time we have seen him since his coming from France): he tells us, that the silver which he received for Dunkirk did weigh 120,000 weight. Here all the morning upon business, and at noon (not going home to dinner, though word was brought me that Will. Joyce was there, whom I had not seen at my house nor any where else these three or four months) with Mr. Coventry by his coach as far as Fleet Street, and there stepped into Madam Turner’s, where was told I should find my cozen Roger Pepys, and with him to the Temple, but not having time to do anything I went towards my Lord Sandwich’s. (In my way went into Captn. Cuttance’s coach, and with him to my Lord’s.) But the company not being ready I did slip down to Wilkinson’s, and having not eat any thing to-day did eat a mutton pie and drank, and so to my Lord’s, where my Lord and Mr. Coventry, Sir Wm. Darcy, one Mr. Parham (a very knowing and well-spoken man in this business), with several others, did meet about stating the business of the fishery, and the manner of the King’s giving of this L200 to every man that shall set out a new-made English Busse by the middle of June next.",pepys,1662,11-29,uncertain,,,,,
"Pickering, and he and I to see the monkeys at the Dutch house, which is far beyond the other that my wife and I saw the other day; and thence to see the dancing on the ropes, which was very poor and tedious. But he and I fell in discourse about my Lord Sandwich. He tells me how he is sorry for my Lord at his being at Chelsey, and that his but seeming so to my Lord without speaking one word, had put him clear out of my Lord’s favour, so as that he was fain to leave him before he went into the country, for that he was put to eat with his servants; but I could not fish from him, though I knew it, what was the matter; but am very sorry to see that my Lord hath thus much forgot his honour, but am resolved not to meddle with it. The play being done, I stole from him and hied home, buying several things at the ironmonger’s--dogs, tongs, and shovels--for my wife’s closett and the rest of my house, and so home, and thence to my office awhile, and so home to supper and to bed. By my letters from Tangier today I hear that it grows very strong by land, and the Mole goes on. They have lately killed two hundred of the Moores, and lost about forty or fifty. I am mightily afeard of laying out too much money in goods upon my house, but it is not money flung away, though I reckon nothing money but when it is in the bank, till I have a good sum beforehand in the world.",pepys,1663,09-07,uncertain,,,,,
"Up; and my wife, and I, and W. Hewer to White Hall, where she set us down; and there I spoke with my Lord Peterborough, to tell him of the day for his dining with me being altered by my Lord Sandwich from Friday to Saturday next. And thence heard at the Council-board the City, by their single counsel Symson, and the company of Strangers Merchants, a debate the business of water-baylage; a tax demanded upon all goods, by the City, imported and exported: which these Merchants oppose, and demanding leave to try the justice of the City’s demand by a Quo Warranto, which the City opposed, the Merchants did quite lay the City on their backs with great triumph, the City’s cause being apparently too weak: but here I observed Mr. Gold, the merchant, to speak very well, and very sharply, against the City. Thence to my wife at Unthanke’s, and with her and W. Hewer to Hercules Pillars, calling to do two or three things by the way, end there dined, and thence to the Duke of York’s house, and saw “Twelfth Night,” as it is now revived; but, I think, one of the weakest plays that ever I saw on the stage. This afternoon, before the play, I called with my wife at Dancre’s, the great landscape-painter, by Mr. Povy’s advice; and have bespoke him to come to take measure of my dining-room panels, and there I met with the pretty daughter of the coalseller’s, that lived in Cheapside, and now in Covent Garden, who hath her picture drawn here, but very poorly; but she is a pretty woman, and now, I perceive, married, a very pretty black woman.",pepys,1669,01-20,uncertain,,,,,
"Hewer, Mercer, and the girle, and mighty pleasant all the evening, and so to bed with my wife, which I have not done since her being ill for three weeks or thereabouts.",pepys,1667,12-27,certain,,,,,
"So to the office a little, and then home to supper and to bed, after hearing my wife sing, who is manifestly come to be more musical in her eare than ever I thought she could have been made, which rejoices me to the heart, for I take great delight now to hear her sing.",pepys,1667,05-07,certain,,,,,
"Office day. There all the morning. Dined at home alone with my wife, and so staid within all the afternoon and evening; at my lute, with great pleasure, and so to bed with great content.",pepys,1660,12-28,certain,,,,,
"Howe come home to-day with my wife, and staid with us all night, staying late up singing songs, and then he and I to bed together in Ashwell’s bed and she with my wife. This the first time that I ever lay in the room. This day Greatorex brought me a very pretty weather-glass for heat and cold.",pepys,1663,03-23,certain,,,,,
"I did this night give him 20s. for books, and as much for his pocket, and 15s. to carry him down, and so to bed. Poor fellow! he is so melancholy, and withal, my wife says, harmless, that I begin to love him, and would be loth he should not do well.",pepys,1667,02-07,certain,,,,,
"Lay long in bed, then up, and many people to speak with me. Then to my office, and dined at noon at home, then to the office again, where we sat all the afternoon, and then home at night to a little supper, and so after my office again at 12 at night home to bed.",pepys,1664,12-13,certain,,,,,
"So home, and by and by comes my wife by coach well home, and having got a good fowl ready for supper against her coming, we eat heartily, and so with great content and ease to our own bed, there nothing appearing so to our content as to be at our own home, after being abroad awhile.",pepys,1663,09-21,certain,,,,,
"So home to supper and to bed, being mightily pleased with all my house and my red chamber, where my wife and I intend constantly to lie, and the having of our dressing room and mayds close by us without any interfering or trouble.",pepys,1663,10-13,certain,,,,,
"However musique and women I cannot but give way to, whatever my business is. They being gone I to the office a while and so home to supper and to bed.",pepys,1666,03-09,certain,,,,,
"Up betimes, and all day long within doors upon my accounts, publique and private, and find the ill effect of letting them go so long without evening, that no soul could have ever understood them but myself, and I with much ado. But, however, my regularity in all I did and spent do helpe me, and I hope to find them well. Late at them and to bed.",pepys,1665,12-29,certain,,,,,
"Coventry I took leave of Creed (very good friends) and away home, and there took out my father, wife, sister, and Mercer our grand Tour in the evening, and made it ten at night before we got home, only drink at the doore at Islington at the Katherine Wheel, and so home and to the office a little, and then to bed.",pepys,1666,06-14,certain,,,,,
"Up and to the office, where we sat all the morning busy, then at noon dined and Mr. Sheply with me, who come to towne the other day. I lent him 630 in silver upon 30 pieces in gold. But to see how apt every body is to neglect old kindnesses! I must charge myself with the ingratitude of being unwilling to lend him so much money without some pawne, if he should have asked it, but he did not aske it, poor man, and so no harm done. After dinner, he gone, I to my office and Lumbard Streete about money, and then to my office again, very busy, and so till late, and then a song with my wife and Mercer in the garden, and so with great content to bed.",pepys,1666,07-05,certain,,,,,
"Turner and Hollworthy home to my house, and there gave wine and sweetmeats; but I find Mrs. Hollworthy but a mean woman, I think, for understanding, only a little conceited, and proud, and talking, but nothing extraordinary in person, or discourse, or understanding. However, I was mightily pleased with her being there, I having long longed for to know her, and they being gone, I paid the fiddlers L3 among the four, and so away to bed, weary and mightily pleased, and have the happiness to reflect upon it as I do sometimes on other things, as going to a play or the like, to be the greatest real comfort that I am to expect in the world, and that it is that that we do really labour in the hopes of; and so I do really enjoy myself, and understand that if I do not do it now I shall not hereafter, it may be, be able to pay for it, or have health to take pleasure in it, and so fill myself with vain expectation of pleasure and go without it.",pepys,1668,01-06,certain,,,,,
"So away:; and to White Hall, and there took my own coach, which was now come, and so away home, and there to do business, and my wife being come home we to talk and to sup, there having been nothing yet like discovery in my wife of what hath lately passed with me about Deb., and so with great content to bed",pepys,1669,04-19,certain,,,,,
"She and I did cast about how to get Captain Grove for my sister, in which we are mighty earnest at present, and I think it would be a good match, and will endeavour it. So to my office a while, then home to supper and to bed.",pepys,1664,02-09,certain,,,,,
"At the office all the morning, so dined at home, and then abroad with my wife by coach to the Theatre to shew her “King and no King,” it being very well done. And so by coach, though hard to get it, being rainy, home. So to my chamber to write letters and the journal for these six last days past.",pepys,1661,09-26,certain,,,,,
"Hewer took up my wife at Unthank’s, and so home, and there with pleasure to read and talk, and so to supper, and put into writing, in merry terms, our agreement between my wife and me, about L30 a-year, and so to bed. This was done under both our hands merrily, and put into W. Hewer’s to keep.",pepys,1669,01-04,certain,,,,,
"All the morning sitting at the office, and then to dinner with my wife, and so to the office again (where a good while Mr. Bland was with me, telling me very fine things in merchandize, which, but that the trouble of my office do so cruelly hinder me, I would take some pains in) till late at night. Towards the evening I, as I have done for three or four nights, studying something of Arithmetique, which do please me well to see myself come forward. So home, to supper, and to bed.",pepys,1662,11-11,certain,,,,,
"After dinner all the afternoon fiddling upon my viallin (which I have not done many a day) while Ashwell danced above in my upper best chamber, which is a rare room for musique, expecting this afternoon my wife to bring my cozen Scott and Stradwick, but they came not, and so in the evening we by ourselves to Half-way house to walk, but did not go in there, but only a walk and so home again and to supper, my father with us, and had a good lobster intended for part of our entertainment to these people to-day, and so to cards, and then to bed, being the first day that I have spent so much to my pleasure a great while.",pepys,1663,04-24,certain,,,,,
"per weeke to take her, and so she away, and my house mighty uncouth, having so few in it, and we shall want a servant or two by it, and the truth is my heart was a little sad all the afternoon and jealous of myself. But she went, and we all glad of it, and so a little to the office, and so home to supper and to bed.",pepys,1666,05-03,certain,,,,,
"So home, and after a little talk with my wife, to the office, and did a great deal of business there till very late, and then home to supper and to bed.",pepys,1663,01-26,certain,,,,,
"By and by home, and there with my people to supper, all in pretty good humour, though I find my wife hath something in her gizzard, that only waits an opportunity of being provoked to bring up; but I will not, for my content-sake, give it. So I to bed, glad to find all so well here, and slept well.",pepys,1668,06-04,certain,,,,,
"So took our coach and home, having now little pleasure to look about me to see the fine faces, for fear of displeasing my wife, whom I take great comfort now, more than ever, in pleasing; and it is a real joy to me. So home, and to my Office, where spent an hour or two; and so home to my wife, to supper and talk, and so to bed.",pepys,1668,12-09,certain,,,,,
"He hath also sent each of us some anchovies, olives, and muscatt; but I know not yet what that is, and am ashamed to ask. After supper home, and to bed, resolving to make up this week in seeing plays and pleasure, and so fall to business next week again for a great while.",pepys,1662,05-21,certain,,,,,
"Knipp, just to speake with me privately, to excuse her not coming to me yesterday, complaining how like a devil her husband treats her, but will be with us in towne a weeke hence, and so I kissed her and parted. Being come home, my wife and I to look over our house and consider of laying out a little money to hang our bedchamber better than it is, and so resolved to go and buy something to-morrow, and so after supper, with great joy in my heart for my coming once again hither, to bed.",pepys,1666,01-06,certain,,,,,
