content,author,year,date_mm_dd,split,VST,HST,SA,OR,WB
"towards the lake) some huts, scattered trees, two or three green fields with hedgerows, and a little brook making its way towards the lake; the fields are almost flat, and screened on that side nearest the head of the lake by a hill, which, pushing itself out, forms the bay of Tarbet, and, towards the foot, by a gentle slope and trees. The lake is narrow, and Ben Lomond shuts up the prospect, rising directly from the water. We could have believed ourselves to be by the side of Ulswater, at Glenridden, or in some other of the inhabited retirements of that lake. We were in a sheltered place among mountains; it was not an open joyous bay, with a cheerful populous village, like Luss; but a pastoral and retired spot, with a few single dwellings. The people of the inn stared at us when we spoke, without giving us an answer immediately, which we were at first disposed to attribute to coarseness of manners, but found afterwards that they did not understand us at once, Erse being the language spoken in the family. Nothing but salt meat and eggs for dinner--no potatoes; the house smelt strongly of herrings, which were hung to dry over the kitchen fire. Walked in the evening towards the head of the lake; the road was steep over the hill, and when we had reached the top of it we had long views up and down the water. Passed a troop of women who were resting themselves by the roadside, as if returning from their day's labour.",wordsworth,1803,08-25,uncertain,,,,,
"It was a threatening, misty morning, but mild. We set off after dinner from Eusemere. Mrs. Clarkson went a short way with us, but turned back. The wind was furious, and we thought we must have returned. We first rested in the large boathouse, then under a furze bush opposite Mr. Clarkson's. Saw the plough going in the field. The wind seized our breath. The lake was rough. There was a boat by itself floating in the middle of the bay below Water Millock. We rested again in the Water Millock Lane. The hawthorns are black and green, the birches here and there greenish, but there is yet more of purple to be seen on the twigs. We got over into a field to avoid some cows--people working. A few primroses by the roadside--woodsorrel flower, the anemone, scentless violets, strawberries, and that starry, yellow flower which Mrs. C. calls pile wort. When we were in the woods beyond Gowbarrow Park we saw a few daffodils close to the water-side. We fancied that the sea had floated the seeds ashore, and that the little colony had so sprung up. But as we went along there were more and yet more; and at last, under the boughs of the trees, we saw that there was a long belt of them along the shore, about the breadth of a country turnpike road. I never saw daffodils so beautiful. They grew among the mossy stones about and above them; some rested their heads upon these stones, as on a pillow, for weariness; and the rest tossed and reeled and danced, and seemed as if they verily laughed with the wind, that blew upon them over the lake; they looked so gay, ever glancing, ever changing. This wind blew directly over the lake to them.",wordsworth,1802,04-15,uncertain,,,,,
"A fine showery morning. I made both pies and bread; but we first walked into Easedale, and sate under the oak trees, upon the mossy stones. There were one or two slight showers. The gowans were flourishing along the banks of the stream. The strawberry flower hanging over the brook; all things soft and green. In the afternoon William sate in the orchard. I went there; was tired, and fell asleep. William began a letter to John Wilson.",wordsworth,1802,06-05,uncertain,,,,,
"A mild warm rain. We sate in the garden all the morning. William dug a little. I transplanted a honey-suckle. The lake was still. The sheep on the island, reflected in the water, like the grey-deer we saw in Gowbarrow Park. We walked after tea by moonlight. I had been in bed in the afternoon, and William had slept in his chair. We walked towards Rydale backwards and forwards below Mr. Olliff's. The village was beautiful in the moonlight. Helm Crag we observed very distinct. The dead hedge round Benson's field bound together at the top by an interlacing of ash sticks, which made a chain of silver when we faced the moon. A letter from C. and also one from S. H. I saw a robin chasing a scarlet butterfly this morning.",wordsworth,1802,04-17,uncertain,,,,,
"A fine October morning. Sat in the house working all the morning. William composing.... After dinner we walked up Greenhead Gill in search of a sheepfold. We went by Mr. Olliff's, and through his woods. It was a delightful day, and the views looked excessively cheerful and beautiful, chiefly that from Mr. Olliff's field, where our own house is to be built. The colours of the mountains soft, and rich with orange fern; the cattle pasturing upon the hilltops; kites sailing in the sky above our heads; sheep bleating, and feeding in the water courses, scattered over the mountains. They come down and feed, on the little green islands in the beds of the torrents, and so may be swept away. The sheepfold is falling away. It is built nearly in the form of a heart unequally divided. Looked down the brook, and saw the drops rise upwards and sparkle in the air at the little falls. The higher sparkled the tallest. We walked along the turf of the mountain till we came to a track, made by the cattle which come upon the hills....",wordsworth,1800,10-11,uncertain,,,,,
"Says he, ""I cannot tell you"" (I suppose he confounded children and grand-children together); ""I have one daughter that keeps a boarding-school at Skipton, in Craven. She teaches flowering and marking. And another that keeps a boarding-school at Ingleton. I brought up my family under the Marquis."" He was familiar with all parts of Yorkshire. He asked us where we lived. At Grasmere. ""The bonniest dale in all England!"" says the old man. I bought a pair of slippers from him, and we sate together by the road-side. When we parted I tried to lift his bundle, and it was almost more than I could do.... After tea I wrote to Coleridge, and closed up my letter to M. H. We went soon to bed. A weight of children a poor man's blessing!... * * * * * *",wordsworth,1802,06-30,uncertain,,,,,
"Went to the hill-top. Sat a considerable time overlooking the country towards the sea. The air blew pleasantly round us. The landscape mildly interesting. The Welsh hills capped by a huge range of tumultuous white clouds. The sea, spotted with white, of a bluish grey in general, and streaked with darker lines. The near shores clear; scattered farm houses, half-concealed by green mossy orchards, fresh straw lying at the doors; hay-stacks in the fields. Brown fallows, the springing wheat, like a shade of green over the brown earth, and the choice meadow plots, full of sheep and lambs, of a soft and vivid green; a few wreaths of blue smoke, spreading along the ground; the oaks and beeches in the hedges retaining their yellow leaves; the distant prospect on the land side, islanded with sunshine; the sea, like a basin full to the margin; the dark fresh-ploughed fields; the turnips of a lively rough green. Returned through the wood.",wordsworth,1798,02-24,uncertain,,,,,
"In the meantime our road carried us nearer to the cottage, though we were crossing over the hill to the left, leaving the valley below us, and we perceived that a part of the building was inhabited, and that what we had supposed to be one blasted tree was eight trees, four of which were entirely blasted; the others partly so, and round about the place was a little potato and cabbage garth, fenced with earth. No doubt, that woman had been an inhabitant of the cottage. However this might be, there was so much obscurity and uncertainty about her, and her figure agreed so well with the desolation of the place, that we were indebted to the chance of her being there for some of the most interesting feelings that we had ever had from natural objects connected with man in dreary solitariness. We had been advised to go along the new road, which would have carried us down the vale; but we met some travellers who recommended us to climb the hill, and go by the village of Crawfordjohn as being much nearer. We had a long hill, and after having reached the top, steep and bad roads, so we continued to walk for a considerable way. The air was cold and clear--the sky blue. We walked cheerfully along in the sunshine, each of us alone, only William had the charge of the horse and car, so he sometimes took a ride, which did but poorly recompense him for the trouble of driving. I never travelled with more cheerful spirits than this day. Our road was along the side of a high moor.",wordsworth,1803,08-20,uncertain,,,,,
A very stormy day. William walked to the top of the hill to see the sea. Nothing distinguishable but a heavy blackness. An immense bough riven from one of the fir trees.,wordsworth,1798,01-29,uncertain,,,,,
"Walked through the wood, and on to the Downs before dinner; a warm pleasant air. The sun shone, but was often obscured by straggling clouds. The redbreasts made a ceaseless song in the woods. The wind rose very high in the evening. The room smoked so that we were obliged to quit it. Young lambs in a green pasture in the Coombe, thick legs, large heads, black staring eyes.",wordsworth,1798,02-02,uncertain,,,,,
"A sweet grey, mild morning. The birds sing soft and low. William has not slept all night; it wants only ten minutes of ten, and he is in bed yet. After William rose we went and sate in the orchard till dinner time. We walked a long time in the evening upon our favourite path; the owls hooted, the night hawk sang to itself incessantly, but there were no little birds, no thrushes. I left William writing a few lines about the night hawk and other images of the evening, and went to seek for letters....",wordsworth,1802,06-15,uncertain,,,,,
"A beautiful mild morning; the sun shone; the lake was still, and all the shores reflected in it. I finished my letter to Mary. Wm. wrote to Stuart. I copied sonnets for him. Mr. Olliff called and asked us to tea to-morrow. We stayed in the house till the sun shone more dimly and we thought the afternoon was closing in, but though the calmness of the Lake was gone with the bright sunshine, yet it was delightfully pleasant. We found no letter from Coleridge. One from Sara which we sate upon the wall to read; a sweet long letter, with a most interesting account of Mr. Patrick. We cooked no dinner. Sate a while by the fire, and then drank tea at Frank Raty's. As we went past the Nab I was surprised to see the youngest child amongst them running about by itself, with a canny round fat face, and rosy cheeks. I called in. They gave me some nuts. Everybody surprised that we should come over Grisdale. Paid £1: 3: 3 for letters come since December 1st. Paid also about 8 shillings at Penrith. The bees were humming about the hive. William raked a few stones off the garden, his first garden labour this year. I cut the shrubs. When we returned from Frank's, Wm. wasted his mind in the Magazines. I wrote to Coleridge, and Mrs. C., closed the letters up to Samson. Then we sate by the fire, and were happy, only our tender thoughts became painful.[47] Went to bed at 1/2 past 11.",wordsworth,1802,01-27,uncertain,,,,,
"Coleridge came in the morning to dinner. Wm. and I walked after dinner to Woodlands; the moon and two planets; sharp and frosty. Met a razor-grinder with a soldier's jacket on, a knapsack upon his back, and a boy to drag his wheel. The sea very black, and making a loud noise as we came through the wood, loud as if disturbed, and the wind was silent.",wordsworth,1798,02-22,uncertain,,,,,
"After tea William and I walked out; we amused ourselves with watching the Highlanders at work: they went leisurely about everything, and whatever was to be done, all followed, old men, and young, and little children. We were driven into the house by a shower, which came on with the evening darkness, and the people leaving their work paused at the same time. I was pleased to see them a while after sitting round a blazing fire in the kitchen, father and son-in-law, master and man, and the mother with her little child on her knee. When I had been there before tea I had observed what a contrast there was between the mistress and her kitchen; she did not differ in appearance from an English country lady; but her kitchen, roof, walls, and floor of mud, was all black alike; yet now, with the light of a bright fire upon so many happy countenances, the whole room made a pretty sight. We heard the company laughing and talking long after we were in bed; indeed I believe they never work till they are tired.[94] The children could not speak a word of English: they were very shy at first; but after I had caressed the eldest, and given her a red leather purse, with which she was delighted, she took hold of my hand and hung about me, changing her side-long looks for pretty smiles. Her mother lamented they were so far from school, they should be obliged to send the children down into the Lowlands to be taught reading and English. Callander, the nearest town, was twenty miles from them, and it was only a small place: they had their groceries from Glasgow.",wordsworth,1803,08-26,certain,,,,,
"A set of schoolboys, perhaps there might be eight, with satchels over their shoulders, and, except one or two, without shoes and stockings, yet very well dressed in jackets and trousers, like gentlemen's children, followed us in great delight, admiring the car and longing to jump up. At last, though we were seated, they made several attempts to get on behind; and they looked so pretty and wild, and at the same time so modest, that we wished to give them a ride, and there being a little hill near the end of the town, we got off, and four of them who still remained, the rest having dropped into their homes by the way, took our places; and indeed I would have walked two miles willingly, to have had the pleasure of seeing them so happy. When they were to ride no longer, they scampered away, laughing and rejoicing. New houses are rising up in great numbers round Glasgow, citizen-like houses, and new plantations, chiefly of fir; the fields are frequently enclosed by hedgerows, but there is no richness, nor any particular beauty for some miles.",wordsworth,1803,08-23,certain,,,,,
"We walked in the wood by the lake. W. read Joanna, and the Firgrove, to Coleridge. They bathed. The morning was delightful, with somewhat of an autumnal freshness. After dinner, Coleridge discovered a rock-seat in the orchard. Cleared away brambles. Coleridge went to bed after tea. John and I followed Wm. up the hill, and then returned to go to Mr. Simpson's. We borrowed some bottles for bottling rum. The evening somewhat frosty and grey, but very pleasant. I broiled Coleridge a mutton chop, which he ate in bed. Wm. was gone to bed. I chatted with John and Coleridge till near 12.",wordsworth,1800,09-01,certain,,,,,
"A rainy day. William very poorly. 2 letters from Sara, and one from poor Annette. Wrote to my brother Richard. We talked a good deal about C. and other interesting things. We resolved to see Annette, and that Wm. should go to Mary. Wm. wrote to Coleridge not to expect us till Thursday or Friday.",wordsworth,1802,02-50,certain,,,,,
"Walked in the Park in the morning. I sate under the fir trees. Coleridge came after dinner, so we did not walk again. A foggy morning, but a clear sunny day.",wordsworth,1798,03-08,certain,,,,,
"Sate out of doors reading the whole afternoon, but in the morning I wrote to my aunt Cookson. In the evening I went to Ambleside with Coleridge's letter. It was a lovely night as the day had been. I went by Loughrigg and Clappersgate and just met the post at the turnpike. He told me there were two letters but none for me, so I was in no hurry and went round again by Clappersgate, crossed the stepping-stones and entered Ambleside at Matthew Harrison's. A letter from Jack Hutchinson, and one from Montagu, enclosing a £3 note. No William! I slackened my pace as I came near home, fearing to hear that he was not come. I listened till after one o'clock to every barking dog, cock-fighting, and other sports. Foxgloves just coming into blossom.",wordsworth,1800,06-05,certain,,,,,
"A fine morning. I read. Sara wrote to Hartley, Wm. to Mary, I to Mrs. C. We walked just before dinner to the lakeside, and found out a seat in a tree. Windy, but very pleasant. Sara and Wm. walked to the waterfalls at Rydale.",wordsworth,1800,12-07,certain,,,,,
"Walked before dinner up the Coombe, to the source of the brook, and came home by the tops of the hills; a showery morning, at the hill-tops; the view opened upon us very grand.",wordsworth,1798,04-07,certain,,,,,
"Very rainy all the morning. Wm. walked to Ambleside after dinner. I went with him part of the way. He talked much about the object of his essay for the second volume of ""L. B."" ... Amos Cottle's death in the Morning Post. N.B.--When William and I returned from accompanying Jones, we met an old man almost double. He had on a coat, thrown over his shoulders, above his waistcoat and coat. Under this he carried a bundle, and had an apron on and a night-cap. His face was interesting. He had dark eyes and a long nose. John, who afterwards met him at Wytheburn, took him for a Jew. He was of Scotch parents, but had been born in the army. He had had a wife, and ""she was a good woman, and it pleased God to bless us with ten children."" All these were dead but one, of whom he had not heard for many years, a sailor. His trade was to gather leeches, but now leeches were scarce, and he had not strength for it. He lived by begging, and was making his way to Carlisle, where he should buy a few godly books to sell. He said leeches were very scarce, partly owing to this dry season, but many years they have been scarce. He supposed it owing to their being much sought after, that they did not breed fast, and were of slow growth. Leeches were formerly 2s. 6d. per 100; they are now 30s. He had been hurt in driving a cart, his leg broken, his body driven over, his skull fractured. He felt no pain till he recovered from his first insensibility. It was then late in the evening, when the light was just going away.[31]",wordsworth,1800,10-03,certain,,,,,
"A fine, mild, gay, beautiful morning. Wm. wrote to Montagu in the morning.... I reached home just before dark, brought some mosses and ivy, and then got tea, and fell to work at German. I read a good deal of Lessing's Essay. Wm. came home between 9 and 10 o'clock. We sat together by the fire till bedtime. Wm. not very much tired.",wordsworth,1802,02-25,certain,,,,,
"We lay in bed till 11 o'clock. Wrote to John, and M. H. William and Sara and I walked to Rydale after tea. A very fine frosty night. Sara and W. walked round the other side.",wordsworth,1800,12-03,certain,,,,,
"When we came out of our own doors, that dear thrush was singing upon the topmost of the smooth branches of the ash tree at the top of the orchard. How long it had been perched on that same tree I cannot tell, but we had heard its dear voice in the orchard the day through, along with a cheerful undersong made by our winter friends, the robins. As we came home, I picked up a few mosses by the roadside, which I left at home. We then went to John's Grove. There we sate a little while looking at the fading landscape. The lake, though the objects on the shore were fading, seemed brighter than when it is perfect day, and the island pushed itself upwards, distinct and large. All the shores marked. There was a sweet, sea-like sound in the trees above our heads. We walked backwards and forwards some time for dear John's sake, then walked to look at Rydale. Wm. now reading in Bishop Hall, I going to read German. We have a nice singing fire, with one piece of wood....",wordsworth,1802,02-23,certain,,,,,
"Rain in the night. A sweet mild morning. Read ballads. Went to church. Singers from Wytheburn. Walked upon the hill above the house till dinner time. Went again to church. After tea, went to Ambleside, round the Lakes. A very fine warm evening. Upon the side of Loughrigg my heart dissolved in what I saw: when I was not startled, but called from my reverie by a noise as of a child paddling without shoes. I looked up, and saw a lamb close to me. It approached nearer and nearer, as if to examine me, and stood a long time. I did not move. At last, it ran past me, and went bleating along the pathway, seeming to be seeking its mother. I saw a hare on the high road....",wordsworth,1800,06-01,certain,,,,,
"A very rainy morning. I went up into the lane to collect a few green mosses to make the chimney gay against my darling's return. Poor C., I did not wish for, or expect him, it rained so.... Coleridge came in. His eyes were a little swollen with the wind. I was much affected by the sight of him, he seemed half-stupefied. William came in soon after. Coleridge went to bed late, and William and I sate up till four o'clock. A letter from Sara sent by Mary. They disputed about Ben Jonson. My spirits were agitated very much.",wordsworth,1802,02-47,certain,,,,,
"William went up into the orchard and finished the poem. I went and sate with W. and walked backwards and forwards in the orchard till dinner time. He read me his poem. I read to him, and my Beloved slept. A sweet evening as it had been a sweet day, and I walked quietly along the side of Rydale lake with quiet thoughts--the hills and the lake were still--the owls had not begun to hoot, and the little birds had given over singing. I looked before me and saw a red light upon Silver How as if coming out of the vale below, There was a light of most strange birth, A light that came out of the earth, And spread along the dark hill-side. Thus I was going on when I saw the shape of my Beloved in the road at a little distance. We turned back to see the light but it was fading--almost gone. The owls hooted when we sate on the wall at the foot of White Moss; the sky broke more and more, and we saw the moon now and then. John Gill passed us with his cart; we sate on. When we came in sight of our own dear Grasmere, the vale looked fair and quiet in the moonshine, the Church was there and all the cottages. There were huge slow-travelling clouds in the sky, that threw large masses of shade upon some of the mountains. We walked backwards and forwards, between home and Olliff's, till I was tired. William kindled, and began to write the poem. We carried cloaks into the orchard, and sate a while there. I left him, and he nearly finished the poem. I was tired to death, and went to bed before him. He came down to me, and read the poem to me in bed. A sailor begged here to-day, going to Glasgow. He spoke cheerfully in a sweet tone.",wordsworth,1802,02-45,certain,,,,,
Coleridge walked over. Miss Simpson drank tea with us. William walked home with her. Coleridge was very unwell. He went to bed before Wm.'s return. * * * * * *,wordsworth,1800,11-28,certain,,,,,
"Our station was at the top of a hill, opposite Bolton Castle, the Ure flowing beneath. William has since written a sonnet on this our imprisonment. Hard was thy durance, poor Queen Mary! compared with ours....[75] We had a sweet ride till we came to a public-house on the side of a hill, where we alighted and walked down to see the waterfalls. The sun was not set, and the woods and fields were spread over with the yellow light of evening, which made their greenness a thousand times more green. There was too much water in the river for the beauty of the falls, and even the banks were less interesting than in winter. Nature had entirely got the better in her struggles against the giants who first cast the mould of these works; for, indeed, it is a place that did not in winter remind one of God, but one could not help feeling as if there had been the agency of some ""mortal instruments,"" which Nature had been struggling against without making a perfect conquest. There was something so wild and new in this feeling, knowing, as we did in the inner man, that God alone had laid his hand upon it, that I could not help regretting the want of it; besides, it is a pleasure to a real lover of Nature to give winter all the glory he can, for summer will make its own way, and speak its own praises. We saw the pathway which William and I took at the close of evening, the path leading to the rabbit warren where we lost ourselves. Sloe farm, with its holly hedges, was lost among the green hills and hedgerows in general, but we found it out, and were glad to look at it again.",wordsworth,1802,09-24,certain,,,,,
"Though William went to bed nervous, and jaded in the extreme, he rose refreshed. I wrote out The Leech Gatherer for him, which he had begun the night before, and of which he wrote several stanzas in bed this morning. [They started to walk to Wytheburn.] It was very hot.... We rested several times by the way,--read, and repeated The Leech Gatherer.... We saw Coleridge on the Wytheburn side of the water; he crossed the beck to us. Mr. Simpson was fishing there. William and I ate luncheon, and then went on towards the waterfall. It is a glorious wild solitude under that lofty purple crag. It stood upright by itself; its own self, and its shadow below, one mass; all else was sunshine. We went on further. A bird at the top of the crag was flying round and round, and looked in thinness and transparency, shape and motion like a moth.... We climbed the hill, but looked in vain for a shade, except at the foot of the great waterfall. We came down, and rested upon a moss-covered rock rising out of the bed of the river. There we lay, ate our dinner, and stayed there till about four o'clock or later. William and Coleridge repeated and read verses. I drank a little brandy and water, and was in heaven. The stag's horn is very beautiful and fresh, springing upon the fells; mountain ashes, green. We drank tea at a farm house.... We parted from Coleridge at Sara's crag, after having looked for the letters which C. carved in the morning. I missed them all. William deepened the X with C.'s pen-knife. We sate afterwards on the wall, seeing the sun go down, and the reflections in the still water. C.",wordsworth,1802,05-04,certain,,,,,
A cold day. The children went down towards the sea. William and I walked to the top of the hills above Holford. Met the blacksmith. Pleasant to see the labourer on Sunday jump with the friskiness of a cow upon a sunny day.,wordsworth,1798,03-11,certain,,,,,
